CNTRY_NAME,LAT,LONG,Vol_2008,Vol_2009,Vol_2010,Vol_2011,Vol_2012,Vol_2013,Vol_2014,Vol_2015,Vol_2016,Vol_2017,Vol_2018,Vol_Total,Perc_2008,Perc_2009,Perc_2010,Perc_2011,Perc_2012,Perc_2013,Perc_2014,Perc_2015,Perc_2016,Perc_2017,Perc_2018,Total_Perc
Mauritania,20,-12,0,0,0,0,0,0,2,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
Mauritius,-20.3,57.583333,0,0,0,0,0,0,0,0,1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
Mexico,23,-102,20,27,28,90,49,47,33,204,230,154,18,899,0.29,0.39,0.35,1.00,0.54,0.62,0.34,2.05,2.31,1.23,0.17,0.90
Montenegro,42.5,19.3,0,0,0,0,0,0,0,0,0,0,15,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.02
Morocco,32,-5,0,3,33,439,430,45,9,47,277,435,333,2049,0.00,0.04,0.41,4.87,4.73,0.59,0.09,0.47,2.78,3.48,3.17,2.05
Namibia,-22,17,0,0,0,0,5,0,0,0,0,0,0,5,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Netherlands,52.5,5.75,9,85,35,13,148,130,1,11,43,23,18,515,0.13,1.23,0.43,0.14,1.63,1.72,0.01,0.11,0.43,0.18,0.17,0.52
New Zealand,-42,174,2,0,0,0,0,0,55,81,0,0,6,143,0.03,0.00,0.00,0.00,0.00,0.00,0.57,0.82,0.00,0.00,0.06,0.14
Niger,16,8,0,0,0,0,0,2,0,9,0,0,0,11,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.09,0.00,0.00,0.00,0.01
Nigeria,10,8,0,0,0,54,0,0,63,7,6,5,4,139,0.00,0.00,0.00,0.60,0.00,0.00,0.66,0.07,0.06,0.04,0.04,0.14
Norway,62,10,111,103,85,73,62,19,1,123,123,330,346,1375,1.63,1.49,1.05,0.81,0.68,0.25,0.01,1.24,1.24,2.64,3.29,1.38
Oman,21,57,68,2,2,0,38,35,468,5,135,89,0,842,1.00,0.03,0.02,0.00,0.42,0.46,4.87,0.05,1.36,0.71,0.00,0.84
Pakistan,30,70,303,146,1027,269,276,137,201,107,15,21,12,2513,4.46,2.11,12.72,2.98,3.04,1.81,2.09,1.08,0.15,0.17,0.11,2.51
Panama,9,-80,0,5,0,0,15,0,0,0,0,0,11,31,0.00,0.07,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.10,0.03
Paraguay,-22.993333,-57.996389,0,0,0,1,1,0,0,0,0,0,0,2,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Peru,-10,-76,0,2,5,2,5,8,0,11,1,3,0,37,0.00,0.03,0.06,0.02,0.06,0.11,0.00,0.11,0.01,0.02,0.00,0.04
Philippines,13,122,10,0,0,60,6,55,12,46,82,23,8,303,0.15,0.00,0.00,0.67,0.07,0.73,0.12,0.46,0.82,0.18,0.08,0.30
Poland,52,20,481,87,41,16,16,0,1,4,0,23,72,741,7.07,1.26,0.51,0.18,0.18,0.00,0.01,0.04,0.00,0.18,0.69,0.74
Portugal,39.5,-8,88,90,89,89,29,0,1,0,1,4,6,396,1.29,1.30,1.10,0.99,0.32,0.00,0.01,0.00,0.01,0.03,0.06,0.40
Qatar,25.5,51.25,0,280,0,150,280,0,0,385,595,520,423,2633,0.00,4.05,0.00,1.66,3.08,0.00,0.00,3.88,5.98,4.16,4.03,2.63
Republic of the Congo,-1,15,0,0,1,0,0,0,0,0,0,0,0,1,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Romania,46,25,2,32,61,42,3,3,0,3,14,22,13,196,0.03,0.46,0.76,0.47,0.03,0.04,0.00,0.03,0.14,0.18,0.12,0.20
Saudi Arabia,25,45,248,244,358,397,394,607,1411,1714,1746,3246,3353,13718,3.65,3.53,4.43,4.40,4.34,8.02,14.70,17.26,17.54,26.00,31.91,13.73
Senegal,14,-14,0,0,0,2,0,0,0,0,0,2,2,6,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01
Seychelles,-4.583333,55.666667,0,0,0,0,0,1,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Singapore,1.366667,103.8,28,760,717,482,456,670,24,75,590,116,56,3974,0.41,10.99,8.88,5.34,5.02,8.85,0.25,0.76,5.93,0.93,0.53,3.98
Slovakia,48.666667,19.5,0,0,0,0,0,0,0,0,0,18,18,35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.17,0.04
Slovenia,46.25,15.166667,0,0,0,0,0,0,1,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
Somalia,6,48,0,0,0,0,0,1,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
South Africa,-30,26,11,9,13,16,9,0,0,0,0,0,0,58,0.16,0.13,0.16,0.18,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.06
South Korea,37,127.5,1121,209,1220,1490,979,107,346,188,599,529,612,7400,16.49,3.02,15.11,16.52,10.77,1.41,3.60,1.89,6.02,4.24,5.82,7.40
Spain,40,-4,18,48,7,20,96,44,20,20,2,14,14,302,0.26,0.69,0.09,0.22,1.06,0.58,0.21,0.20,0.02,0.11,0.13,0.30
Sri Lanka,7,81,0,0,0,10,0,0,0,0,0,0,54,64,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.06
Sweden,62,15,9,2,0,150,185,16,1,2,9,5,0,379,0.13,0.03,0.00,1.66,2.04,0.21,0.01,0.02,0.09,0.04,0.00,0.38
Switzerland,47,8,1,2,30,16,5,2,1,1,61,31,0,149,0.01,0.03,0.37,0.18,0.06,0.03,0.01,0.01,0.61,0.25,0.00,0.15
Taiwan,24,121,11,0,37,138,424,549,1071,630,97,493,129,3578,0.16,0.00,0.46,1.53,4.67,7.25,11.16,6.34,0.97,3.95,1.23,3.58
